Prey ,490, Predator ,448, Grass ,1189
Prey ,504, Predator ,445, Grass ,1190
Prey ,492, Predator ,443, Grass ,1193
Prey ,509, Predator ,443, Grass ,1191
Prey ,524, Predator ,437, Grass ,1200
Prey ,523, Predator ,435, Grass ,1200
Prey ,528, Predator ,428, Grass ,1195
Prey ,529, Predator ,424, Grass ,1191
Prey ,529, Predator ,420, Grass ,1186
Prey ,519, Predator ,427, Grass ,1190
Prey ,522, Predator ,425, Grass ,1185
Prey ,515, Predator ,429, Grass ,1163
Prey ,523, Predator ,436, Grass ,1154
Prey ,528, Predator ,439, Grass ,1158
Prey ,497, Predator ,445, Grass ,1165
Prey ,504, Predator ,442, Grass ,1169
Prey ,494, Predator ,447, Grass ,1161
Prey ,486, Predator ,448, Grass ,1148
Prey ,476, Predator ,445, Grass ,1151
Prey ,467, Predator ,447, Grass ,1152
Prey ,480, Predator ,445, Grass ,1154
Prey ,473, Predator ,439, Grass ,1150
Prey ,462, Predator ,438, Grass ,1135
Prey ,453, Predator ,445, Grass ,1138
Prey ,460, Predator ,444, Grass ,1139
Prey ,467, Predator ,445, Grass ,1140
Prey ,473, Predator ,444, Grass ,1146
Prey ,462, Predator ,443, Grass ,1151
Prey ,459, Predator ,443, Grass ,1160
Prey ,477, Predator ,450, Grass ,1164
Prey ,478, Predator ,438, Grass ,1160
Prey ,479, Predator ,437, Grass ,1170
Prey ,469, Predator ,428, Grass ,1182
Prey ,442, Predator ,430, Grass ,1194
Prey ,431, Predator ,425, Grass ,1196
Prey ,447, Predator ,424, Grass ,1205
Prey ,439, Predator ,419, Grass ,1206
Prey ,441, Predator ,426, Grass ,1195
Prey ,451, Predator ,429, Grass ,1195
Prey ,447, Predator ,429, Grass ,1187
Prey ,453, Predator ,436, Grass ,1178
Prey ,442, Predator ,444, Grass ,1176
Prey ,432, Predator ,438, Grass ,1165
Prey ,438, Predator ,424, Grass ,1167
Prey ,451, Predator ,415, Grass ,1166
Prey ,448, Predator ,413, Grass ,1175
Prey ,448, Predator ,411, Grass ,1186
Prey ,461, Predator ,408, Grass ,1189
Prey ,456, Predator ,408, Grass ,1199
Prey ,451, Predator ,403, Grass ,1212
Prey ,451, Predator ,407, Grass ,1208
Prey ,458, Predator ,417, Grass ,1213
Prey ,448, Predator ,420, Grass ,1203
Prey ,447, Predator ,418, Grass ,1192
Prey ,455, Predator ,412, Grass ,1203
Prey ,468, Predator ,410, Grass ,1203
Prey ,484, Predator ,410, Grass ,1198
Prey ,503, Predator ,409, Grass ,1199
Prey ,507, Predator ,405, Grass ,1200
Prey ,505, Predator ,402, Grass ,1211
Prey ,498, Predator ,396, Grass ,1215
Prey ,511, Predator ,390, Grass ,1210
Prey ,512, Predator ,381, Grass ,1196
Prey ,520, Predator ,380, Grass ,1189
Prey ,540, Predator ,381, Grass ,1176
Prey ,540, Predator ,388, Grass ,1170
Prey ,537, Predator ,399, Grass ,1145
Prey ,528, Predator ,401, Grass ,1150
Prey ,539, Predator ,395, Grass ,1173
Prey ,544, Predator ,389, Grass ,1166
Prey ,548, Predator ,389, Grass ,1170
Prey ,532, Predator ,376, Grass ,1154
Prey ,555, Predator ,381, Grass ,1149
Prey ,540, Predator ,377, Grass ,1140
Prey ,558, Predator ,374, Grass ,1139
Prey ,546, Predator ,374, Grass ,1130
Prey ,523, Predator ,365, Grass ,1125
Prey ,528, Predator ,364, Grass ,1130
Prey ,525, Predator ,361, Grass ,1122
Prey ,502, Predator ,365, Grass ,1117
Prey ,512, Predator ,363, Grass ,1132
Prey ,502, Predator ,366, Grass ,1125
Prey ,509, Predator ,366, Grass ,1125
Prey ,522, Predator ,361, Grass ,1124
Prey ,533, Predator ,360, Grass ,1114
Prey ,538, Predator ,364, Grass ,1110
Prey ,554, Predator ,372, Grass ,1107
Prey ,544, Predator ,377, Grass ,1105
Prey ,554, Predator ,383, Grass ,1115
Prey ,555, Predator ,386, Grass ,1108
Prey ,567, Predator ,389, Grass ,1103
Prey ,566, Predator ,392, Grass ,1100
Prey ,553, Predator ,399, Grass ,1089
Prey ,517, Predator ,391, Grass ,1098
Prey ,503, Predator ,399, Grass ,1112
Prey ,523, Predator ,399, Grass ,1114
Prey ,519, Predator ,403, Grass ,1106
Prey ,518, Predator ,408, Grass ,1107
Prey ,516, Predator ,412, Grass ,1117
Prey ,518, Predator ,410, Grass ,1132
Prey ,520, Predator ,417, Grass ,1147
Prey ,554, Predator ,418, Grass ,1146
Prey ,551, Predator ,406, Grass ,1136
Prey ,544, Predator ,406, Grass ,1138
Prey ,544, Predator ,411, Grass ,1138
Prey ,550, Predator ,414, Grass ,1125
Prey ,535, Predator ,410, Grass ,1106
Prey ,534, Predator ,400, Grass ,1116
Prey ,551, Predator ,409, Grass ,1096
Prey ,543, Predator ,411, Grass ,1107
Prey ,563, Predator ,404, Grass ,1104
Prey ,563, Predator ,397, Grass ,1097
Prey ,555, Predator ,395, Grass ,1097
Prey ,557, Predator ,394, Grass ,1110
Prey ,525, Predator ,391, Grass ,1109
Prey ,511, Predator ,393, Grass ,1115
Prey ,500, Predator ,399, Grass ,1119
Prey ,494, Predator ,397, Grass ,1121
Prey ,496, Predator ,397, Grass ,1118
Prey ,494, Predator ,397, Grass ,1116
Prey ,477, Predator ,387, Grass ,1109
Prey ,469, Predator ,385, Grass ,1110
Prey ,463, Predator ,385, Grass ,1124
Prey ,456, Predator ,382, Grass ,1127
Prey ,458, Predator ,384, Grass ,1131
Prey ,482, Predator ,378, Grass ,1130
Prey ,498, Predator ,380, Grass ,1135
Prey ,511, Predator ,379, Grass ,1133
Prey ,494, Predator ,391, Grass ,1145
Prey ,495, Predator ,389, Grass ,1162
Prey ,490, Predator ,383, Grass ,1159
Prey ,460, Predator ,382, Grass ,1169
Prey ,471, Predator ,386, Grass ,1169
Prey ,458, Predator ,389, Grass ,1160
Prey ,461, Predator ,394, Grass ,1173
Prey ,455, Predator ,391, Grass ,1179
Prey ,453, Predator ,390, Grass ,1181
Prey ,443, Predator ,396, Grass ,1166
Prey ,471, Predator ,399, Grass ,1164
Prey ,442, Predator ,394, Grass ,1180
Prey ,440, Predator ,396, Grass ,1211
Prey ,423, Predator ,388, Grass ,1211
Prey ,443, Predator ,386, Grass ,1225
Prey ,447, Predator ,391, Grass ,1232
Prey ,458, Predator ,392, Grass ,1233
Prey ,452, Predator ,388, Grass ,1233
Prey ,446, Predator ,390, Grass ,1247
Prey ,461, Predator ,398, Grass ,1249
Prey ,461, Predator ,395, Grass ,1263
Prey ,440, Predator ,397, Grass ,1274
Prey ,430, Predator ,396, Grass ,1274
Prey ,424, Predator ,399, Grass ,1271
Prey ,418, Predator ,403, Grass ,1272
Prey ,420, Predator ,407, Grass ,1267
Prey ,426, Predator ,410, Grass ,1274
Prey ,437, Predator ,414, Grass ,1272
Prey ,424, Predator ,418, Grass ,1269
Prey ,410, Predator ,419, Grass ,1285
Prey ,418, Predator ,416, Grass ,1294
Prey ,409, Predator ,415, Grass ,1284
Prey ,403, Predator ,407, Grass ,1273
Prey ,417, Predator ,409, Grass ,1272
Prey ,426, Predator ,410, Grass ,1276
Prey ,439, Predator ,417, Grass ,1273
Prey ,441, Predator ,412, Grass ,1264
Prey ,458, Predator ,412, Grass ,1271
Prey ,444, Predator ,408, Grass ,1266
Prey ,452, Predator ,415, Grass ,1253
Prey ,435, Predator ,420, Grass ,1265
